"구분","등록번호","청구기호","서명","저작자","발행자","발행년","가격","자료실명"
"68","EM0000380057","189.1-스39ㅇ","어떻게 나답게 살 것인가  : 내 삶의 의미를 찾는 네 가지 질문","에밀리 에스파하니 스미스 지음  ; 김경영 옮김","RHK(알에이치코리아)","2019","16000","종합자료실"
"69","EM0000380058","166.2-스849ㅇ","에티카","베네딕투스 데 스피노자 지음  ; 조현진 옮김","책세상","2019","8900","종합자료실"
"70","EM0000380059","148.4-맹71ㅁ","(오늘을 읽는) 맹자","맹자 지음  ; 임자헌 옮김","루페","2019","15800","일반인문도서"
"71","EM0000380060","152.57-황11ㅇ","왕양명 읽기","황갑연 지음","세창미디어","2018","11000","종합자료실"
"72","EM0000380061","818-문53ㅇ","우울해도 괜찮아  : 우울증과 함께 살아가는 법","문성철 지음","책읽는귀족","2019","12000","종합자료실"
"73","EM0000380062","511.18-믈235ㅇ","유연한 사고의 힘  : 창의적인 사고를 할 수 있는 사소한 습관","레오나르드 믈로디노프 지음 ; 김정은 옮김","까치","2018","18000","종합자료실"
"74","EM0000380063","189-오59ㅈ","자기긍정감이 낮은 당신을 곧바로 바꾸는 방법  : 인생이 놀랄 정도로 앞으로 나아갈 것이다","오시마 노부요리 지음  ; 정지영 옮김","지상사","2019","12800","종합자료실"
"75","EM0000380064","189.1-김67ㅈ","자연스러움의 기술  : 이제 당신의 삶을 살아도 괜찮습니다","김윤나 지음","넥서스books","2019","13800","종합자료실"
"76","EM0000380065","199.1-유821ㅈ","적당한 거리를 두세요  : 내 사람, 내 인생을 지키는 관계 맺기의 기술","유카와 히사코 지음  ; 김윤경 옮김","심플라이프","2019","13500","종합자료실"
"77","EM0000380066","중140.109-장42ㅈ","중국경학략사","장백잠 지음  ; 전병수 옮김","수류화개","2019","10000","중국문화정보실"
"78","EM0000380067","중152-볼848ㅈ","중국인의 실천철학에 대한 연설","크리스티안 볼프 지음  ; 이동희 옮김","길","2018","33000","중국문화정보실"
"79","EM0000380068","199.1-지18","지극히 개인주의적 소확행  : 알고보면 당신의 일상에 숨겨져 있는 소중한 점(dot)들","전수진, 전경욱, 최민석, 김성환, 김승현, 한정아, 김미려 지음 ; 전경욱 사진  ; 김미려 그림","치읓","2019","14500","종합자료실"
"80","EM0000380069","160-이78ㅌ","(지적 허영을 위한) 퇴근길 철학툰","이즐라 지음","Qrious","2019","14000","종합자료실"
